id,year,type
1025,1600,Balance of Power
1026,1601,Balance of Power
1027,1602,Balance of Power
1028,1603,Balance of Power
1029,1604,Balance of Power
1030,1605,Balance of Power
1031,1606,Balance of Power
1032,1607,Balance of Power
1033,1608,Balance of Power
1034,1609,Balance of Power
1035,1532,Balance of Power
1036,1532,Balance of Power
1037,1533,Balance of Power
1038,1533,Balance of Power
1039,1534,Balance of Power
1040,1534,Balance of Power
1041,1497,Other
1042,1497,Other
1043,1498,Other
1044,1498,Other
1045,1831,Civil
1046,1831,Civil
1047,1831,Civil
1048,1831,Civil
1049,1832,Civil
1050,1832,Civil
1051,1832,Civil
1052,1832,Civil
1053,1833,Civil
1054,1833,Civil
1055,1833,Civil
1056,1833,Civil
1057,1834,Civil
1058,1834,Civil
1059,1834,Civil
1060,1834,Civil
1061,1609,Balance of Power
1062,1610,Balance of Power
1063,1611,Balance of Power
1064,1612,Balance of Power
1065,1613,Balance of Power
1066,1614,Balance of Power
1067,1615,Balance of Power
1068,1616,Balance of Power
1069,1617,Balance of Power
1070,1618,Balance of Power
1071,1619,Balance of Power
1072,1613,Balance of Power
1073,1614,Balance of Power
1074,1615,Balance of Power
1075,1616,Balance of Power
1076,1617,Balance of Power
1077,1534,Balance of Power
1078,1535,Balance of Power
1079,1536,Balance of Power
1080,1537,Balance of Power
1081,1572,Balance of Power
1082,1573,Balance of Power
1083,1574,Balance of Power
1084,1575,Balance of Power
1085,1511,Balance of Power
1086,1512,Balance of Power
1087,1513,Balance of Power
1088,1514,Balance of Power
1089,1515,Balance of Power
1090,1516,Balance of Power
1091,1517,Balance of Power
1092,1518,Balance of Power
1093,1519,Balance of Power
1094,1520,Balance of Power
1095,1521,Balance of Power
1096,1522,Balance of Power
1097,1523,Balance of Power
1098,1524,Balance of Power
1099,1525,Balance of Power
1100,1526,Balance of Power
1101,1632,Balance of Power
1102,1633,Balance of Power
1103,1634,Balance of Power
1104,1654,Balance of Power
1105,1655,Balance of Power
1106,1656,Balance of Power
1107,1657,Balance of Power
1108,1658,Balance of Power
1109,1659,Balance of Power
1110,1660,Balance of Power
1111,1661,Balance of Power
1112,1662,Balance of Power
1113,1663,Balance of Power
1114,1664,Balance of Power
1115,1665,Balance of Power
1116,1666,Balance of Power
1117,1667,Balance of Power
1118,1788,Other
1119,1788,Balance of Power
1120,1788,Balance of Power
1121,1789,Other
1122,1789,Balance of Power
1123,1789,Balance of Power
1124,1790,Balance of Power
1125,1790,Balance of Power
1126,1790,Balance of Power
1127,1808,Balance of Power
1128,1808,Balance of Power
1129,1808,Balance of Power
1130,1809,Balance of Power
1131,1809,Balance of Power
1132,1809,Balance of Power
1133,1741,Balance of Power
1134,1742,Balance of Power
1135,1743,Balance of Power
1136,1559,Balance of Power
1137,1560,Balance of Power
1138,1561,Balance of Power
1139,1572,Balance of Power
1140,1573,Balance of Power
1141,1574,Balance of Power
1142,1575,Balance of Power
1143,1576,Balance of Power
1144,1577,Balance of Power
