id,name,gender,profile_path
1901070,Sheldon Stopsack,0,
1901083,Paradox Delilah,0,
1901084,David Butcherine,0,
880,Ben Affleck,2,/cPuPt6mYJ83DjvO3hbjNGug6Fbi.jpg
73968,Henry Cavill,2,/h8bn6ybR5Hu58UGJGwb66nrOagV.jpg
90633,Gal Gadot,1,/34kHAyBaBhq2kUrmhM15paEBuuI.jpg
117642,杰森·莫玛,2,/tTONqzQuAnuMlfM5E0nU9RWukOE.jpg
132157,Ezra Miller,2,/1tgihUq8F6zPHU9IYyRZ7vI6nme.jpg
1313559,Ray Fisher,2,/130RBXNLxbp6DbzVFQT90RFLmxD.jpg
8785,Ciarán Hinds,2,/h5n8B12WoY1UAZjzSVEup4vsoBw.jpg
44735,Jesse Eisenberg,2,/qTvksu7NaWL3prXTe2JrFYU4gHo.jpg
9273,Amy Adams,1,/5lYjMXl7xhG4gUu1XYqh6Dsni2K.jpg
55085,Amber Heard,1,/ft4ACLVFBXaOotbicBLm1fODyZr.jpg
18999,J.K. Simmons,2,/jPoNW5fugs5h8AbcE7H5OBm04Tm.jpg
16940,Jeremy Irons,2,/dulUTsivRm5XC7hWCYm54rjqWDs.jpg
5293,Willem Dafoe,2,/xM5lhOR5tWWdIlFpBDeZJx9opIP.jpg
2882,Diane Lane,1,/tUPAKAtstqeQrAKhkQge9jV7Owz.jpg
935,Connie Nielsen,1,/lvQypTfeH2Gn2PTbzq6XkT2PLmn.jpg
1253355,Kiersey Clemons,1,/sOXELJHizB1cK0OzWRubGGg4l8S.jpg
8289,Billy Crudup,2,/pYblSarjmmIUggmOafanD2yk0Zj.jpg
3977,Joe Morton,2,/5adJxjbFX2GeuTTCNqc9dg4Twgx.jpg
109650,Julian Lewis Jones,2,/yYB4vsidFakP6oAfeXU3PZvDpM6.jpg
1389198,Gemma Refoufi,1,/drwGzHpj54bWNZQHUCxrLcOMl1w.jpg
1717128,Kelly Burke,0,/x3cZAtZPkoEIisvPGxbrU8U4nkp.jpg
1417539,Paulina Boneva,0,/h79tJ7YXrTmjOnRC6eSwyaUg1OU.jpg
1717130,Alexandra Ford,1,/fbQWfmYoEMV6ixYSLCjYL2RhztS.jpg
1310711,Lisa Loven Kongsli,1,/pwT0UuQ1tsleh3urfabVRj0UE3S.jpg
62976,Eleanor Matsuura,0,/6ZbBU8ESZw8wTOdmqF9WJd2I9Gt.jpg
73288,Michael McElhatton,2,/yNwAo0LGS9fLd6Hathxt0wN6r9O.jpg
1481440,Daniel Stisen,2,/jhyIFfBnM5nLhHdpFiGIW6qk9x5.jpg
1272968,Samantha Jo,1,/aHUB2vNo5ZbOVnlmqJ4SkUpDXrk.jpg
282,Charles Roven,0,/4uJLoVstC1CBcArXFOe53N2fDr1.jpg
531,Danny Elfman,2,/pWacZpYPos8io22nEiim7d3wp2j.jpg
3893,David S. Goyer,2,/vh0ULL0N22JlVlQ5mXFmreA6Ubz.jpg
2953,Lora Kennedy,1,/iLrYUr57iX8LdHxnh3bflegzWuE.jpg
3794,Bob Kane,2,/vuXwrlqaUydA4t5SFVdQkK9KsZL.jpg
3964,Patrick Tatopoulos,2,/74JOnC7DLU4uDwNzQX80oLX5Giy.jpg
5392,Michael Wilkinson,2,
6051,David Brenner,2,
12891,Joss Whedon,2,/dTiVsuaTVTeGmvkhcyJvKp2A5kr.jpg
15217,Zack Snyder,2,/vdr0DlKJH4Ub7nWZtkanBH65bGH.jpg
17610,Kristy Carlson,0,
20007,Jerry Siegel,0,/tpkgpm3pHrkSNewoDasKz6Chpg4.jpg
20008,Joe Shuster,0,
56827,Junkie XL,2,/A4ppyrEpx4t96BALthouYItfFEH.jpg
66821,Jon Berg,2,
79242,Wesley Coller,0,/liHN0gb0T1jbya05NF0GllSzwYc.jpg
79243,Deborah Snyder,1,
78135,Gregory Wilson,0,
123292,Finni Johannsson,2,/47x5yH8KgkTKqcZ3HAxQKtJT4m8.jpg
131680,Chris Terrio,0,/fALSMZJLffFzhD1WM6cowV2M6wt.jpg
198034,Bill Finger,0,/8YNi67GimJjHTmXR3nUhkEJGV95.jpg
211962,Geoff Johns,2,/xkaRZu1o1NILQ4PcRXqnjOrJ0Y0.jpg
1345974,Fabian Wagner,0,/uovLA9I5UYgiDdRt9pNbcDQh89U.jpg
1467461,Taylor Brown,2,/oONAdCTWky49Rj5Ey0QiSkgVju8.jpg
1821154,Emmy Beech,0,
74568,Chris Hemsworth,2,/tlkDiLn2G75Xr7m1ybK8QFzZBso.jpg
91606,Tom Hiddleston,2,/qB1lHPFBPIzw6I7EvsciZ5wyUNS.jpg
112,Cate Blanchett,1,/33vvSBq51vpXwfkhQzQTwgRAUeI.jpg
17605,Idris Elba,2,/d9NkfCwczP0TjgrjpF94jF67SK8.jpg
4785,Jeff Goldblum,2,/w9frUiRJUyRnWvFqihtS31q6LWc.jpg
62561,Tessa Thompson,1,/fycqdiiM6dsNSbnONBVVQ57ILV1.jpg
1372,Karl Urban,2,/tHYOUO33K7iaDw8nXyqRvDIkVuM.jpg
103,Mark Ruffalo,2,/zdM6RgCR5LpZwnL8UA3m7CfVpiq.jpg
4173,Anthony Hopkins,2,/jdoBTIru71FbPuHGEgox5RVmIO0.jpg
71580,Benedict Cumberbatch,2,/wz3MRiMmoz6b5X3oSzMRC9nLxY1.jpg
4783,Sam Neill,2,/bmTxJ3szZaQNCgYOaVRRQxBDQlF.jpg
55934,Taika Waititi,2,/8JBRfEb6mz7GdLwpoKDUOG6B5gy.jpg
187016,Jasper Bagg,2,/6Z0mpyBSX3JjfobOqeRI18wuLp.jpg
1768699,Tahlia Jade,1,/xhifAb1hwqREG8EKBqLi1ZJeeWg.jpg
1527566,Jet Tranter,1,/137Ze7d18pUrNiDY5g3kzMpCauM.jpg
1795311,Greta Carew-Johns,0,
230621,Tracey Lee Maxwell,0,
3899,Ken Watanabe,2,/v8WQ5wCIZsnqVZn7jQveaDqurox.jpg
1328711,Sean Edward Frazer,0,
1814638,Tracie Filmer,0,
1394464,Connor Zegenhagen,0,
1814641,Beatrice Ward,0,
70890,Adam Green,2,/dVTHjh33pASH2nnNL00N4WXfjdR.jpg
7624,Stan Lee,2,/dTr2gJPL7jELKVkcjtoNx80uVKR.jpg
15298,Rachel House,1,/8UGo2lHG5wtnH55lKPDm8oJ0IOk.jpg
6574,Clancy Brown,2,/xBVifBW0riMSbedEQ27hObjPqVw.jpg
105643,Jay Oliva,2,/y7EbnuoKFMvU7uZ4aD50jThyNoF.jpg
87173,Craig Kyle,2,/p9Zhlbr2ywEwr4WjM5sErqeAgBh.jpg
109542,Christopher Yost,2,/6v1wkHdEAuwD8M8i0yWa3LYvoxS.jpg
8159,Shannon Mills,0,
1392718,Jasin Boland,2,/zxr5WBe3JW1GtxPoER9JY8QJm07.jpg
1453948,Jhon Alvarado,0,
1459754,Lee McNair,0,
1653682,Molly Doyle,0,
403,Javier Aguirresarobe,2,
5666,Mark Mothersbaugh,2,/AoQ4Prrg039LlQiwBNANXn8VVkg.jpg
1744241,Stephany Folsom,1,/fHneeYZm8oNJug8GV2PKmH3Ki.jpg
18866,Jack Kirby,2,/xLVSa7mX1BCyVoKD2wyRGEQXj8M.jpg
18876,Larry Lieber,2,/6zFjMrk50yZri9KiVqli477gWYB.jpg
579281,Eric Pearson,0,
113674,Victoria Alonso,0,/xF7Qe1tqgk9KtY8kThKHBWhMqxc.jpg
57027,Louis D'Esposito,2,/pNvtXPy8kil9WWFtySahnNbvc3R.jpg
10850,Kevin Feige,2,/AewbqQQT0FbcE358rcbopZ3zgDV.jpg
58190,Thomas M. Hammel,2,
7232,Sarah Finn,1,
1198829,Kirsty McGregor,0,
1391707,Bill Booth,2,
72232,Brendan Heffernan,0,
62484,Richard Hobbs,2,
1713955,Laura Ng,0,
1401784,Jennifer Teves,0,
1713958,Danielle Daly,0,
1358031,Chris Capel,0,
1793535,Brian Chapek,2,
1256726,Brad Winderbaum,0,
225628,Zene Baker,0,
1373,Dan Hennah,2,/mDTcsOTb8j3UAUZ6xEGb3W0vjNU.jpg
17675,Mayes C. Rubeo,0,
1607637,Vincenzo Mastrantonio,0,
119182,Carla Vicenzino,0,
1412734,Jennifer Cornwell,0,
1412753,Jamie Whitfield,0,
1711214,Vincent Lascoumes,0,
70500,Tom Hooper,2,/pyg4rXPjTLKkUU88hImzKYIcuW0.jpg
11354,Ben Cooke,0,/mdYAaW3tctXeEqYFl6pKYcgDKSx.jpg
1360093,Tim Croshaw,0,
1185778,Dane Eade,0,
1814579,Devin Gray,0,
1726885,Daniela Medeiros,0,
1391713,Paula Whiteway,0,
1411509,Jane Wuu,0,
3504,David Farmer,0,
1406872,Nia Hansen,0,
16344,Daniel Laurie,0,
1543191,Jason B. Stamey,0,
1653683,Nicholas A. Mudd,0,
1814581,Holly Isaacson,0,
1700118,Adam Kimmerlin,0,
1814582,Daniel O'Brien,0,
73457,Chris Pratt,2,/n4DD1AYU7WEMNPLga1TxqnHivn1.jpg
543530,Dave Bautista,2,/mR7ZdtykA2MvT6ZCZtM4pjXW1gA.jpg
12835,Vin Diesel,2,/7rwSXluNWZAluYMOEWBxkPmckES.jpg
51329,Bradley Cooper,2,/z5LUl9bljJnah3S5rtN7rScrmI8.jpg
12132,Michael Rooker,2,/bvmf7TIjCyRPrBNrmZ5qyePTL5y.jpg
543261,Karen Gillan,1,/b6rSmkcM3XvSxCb3aLEP8JaG07q.jpg
139820,Pom Klementieff,1,/5L0cO2WvhA02k95OPf1jx0F9PbG.jpg
1133349,Elizabeth Debicki,1,/uIw9iflFNRua62yXYNXv3MomG6L.jpg
1293892,Chris Sullivan,2,/7sX7PhROq4jRFPTwAn0u5XuCWqW.jpg
51663,Sean Gunn,2,/A8aJtSSKpug9QyQRL1glhr1pkEj.jpg
16483,Sylvester Stallone,2,/gnmwOa46C2TP35N7ARSzboTdx2u.jpg
6856,Kurt Russell,2,/rlnFuNkisPpuypARI7QaGCmOY6V.jpg
1148455,Wyatt Oleff,2,/18K1XQR54wzaAjrBh1FUBGKFuNv.jpg
1241405,Aaron Schwartz,0,/beTFsIHgBMyNfSQvV1N6Qm5uM94.jpg
209578,Laura Haddock,0,/cc8dV3F1poQ3nZoNfm5rECI2hd9.jpg
2518,Gregg Henry,2,/ltCW4AenmpuDau3x5etBkGxiCkV.jpg
13922,Seth Green,2,/7ksgEtZZIhSkJmt7zMyVDOQfdxu.jpg
96349,Molly C. Quinn,1,/eIKxZtJdWrMyQXsHETFQ48kErIc.jpg
333,Evan Jones,2,/l3HyrWJQZtb6GMmljTfbDR0Ve65.jpg
1435789,Jimmy Urine,0,/waICvMesPTqmjqhc5QjZjp1G1uR.jpg
85096,Stephen Blackehart,2,/659GdpZSQVMQSRZDWsynvUrvMCl.jpg
559457,Steve Agee,0,/8XjgDjfkdmu31GvnHJw4laZ8TDM.jpg
85115,Joe Fria,0,/cPvuaT9WvswMinZxZKhGot0L39b.jpg
1411625,Terence Rosemore,2,/7UR6TjMxxflajE0ormhoReccoNR.jpg
2478,Tommy Flanagan,2,/eVHvVN05wJSINFlkjxjwOwe6C3L.jpg
105657,Richard Christy,2,/KIiGkQFxlf4Of37Mii3MLn6JgK.jpg
19975,Michael Rosenbaum,2,/kp8EIlf3VH0SO3log1mX9RQk0RD.jpg
10182,Ving Rhames,2,/qfp236BgZ8S8sfFJvDTd3gjB3Ml.jpg
