id,name,year_birth,year_death,dinasty
21974,Son  Camoys,,,Camoys
21975,Joan  Cherleton,,,Cherleton
21976,Joyce  Cherleton,1403.0,1446.0,Cherleton
21977,John  Grey,,1421.0,Grey
21978,John  Tiptoft,,1443.0,Tiptoft
21979,Alice  Mortimer,,,Mortimer
21980,John  Fitzalan,1394.0,1397.0,Fitzalan
21981,Lionel  Mortimer,,,Mortimer
21982,Daughter  Mortimer,,1413.0,Mortimer
21983,Daughter  Mortimer,,1413.0,Mortimer
21984,Bianca Maria de Savoie,,,Savoie
21985,Ludovico  Visconti,1358.0,,Visconti
21986,John (Giovanni) Visconti,,,Visconti
21987,Marie de St Hilaire,,1399.0,Hilaire
21988,Blanche  Plantagenet,1360.0,1388.0,Plantagenet
21989,Thomas  Morieux,,,Morieux
21990,Richard  Hankford,1397.0,1430.0,Hankford
21991,John  Grey,,1439.0,Grey
21992,Alice  Holland,1392.0,1406.0,Holland
21993,Richard  de Vere,1385.0,1417.0,Vere
21994,Constance  Cornwall,,1429.0,Cornwall
21995,John  Maltravers,1407.0,1435.0,Maltravers
21996,Jane  Crophill,,,Crophill
21997,Margaret  Grey,,1454.0,Grey
21998,Henry  Grey,,,Grey
21999,Blanche  de Swynford,1370.0,,Swynford
22000,John Bastard of Somerset Beaufort,,1453.0,Beaufort
22001,Jacinda (Thomasine) Beaufort,1434.0,1469.0,Beaufort
22002,Edith  Stourton,,,Stourton
22003,John  Stourton,,,Stourton
22004,Agnes  St.John,,,St.John
22005,Edith  St.John,,,St.John
22006,Elizabeth  St.John,,,St.John
22007,Mary  St.John,,,St.John
22008,Alice  Bradshaigh,,,Bradshaigh
22009,Thomas  Bradshaigh,,,Bradshaigh
22010,David  Malpas,,,Malpas
22011,Geoffrey  Pole,,1474.0,Pole
22012,William  Zouche,,,Zouche
22013,Richard  Frogenhall,,,Frogenhall
22014,Thomas  Ros,1427.0,1461.0,Ros
22015,Philippa  Tiptoft,,,Tiptoft
22016,John  Tiptoft,,,Tiptoft
22017,Joan  Hill,,,Hill
22018,Elizabeth  Herbert,1476.0,1511.0,Herbert
22019,Elizabeth  West,,,West
22020,Thomas  West,,1525.0,West
22021,Eleanor  Sutton,,1549.0,Sutton
22022,Edward  Sutton,,,Sutton
22023,Margaret  Darell,,,Darell
22024,Mary  FitzLewes,,,FitzLewes
22025,Mary (Margaret) Beaufort,,,Beaufort
22026,_____  Burgh,,,Burgh
22027,Thomas  Burgh,,,Burgh
22028,Edward  Burgh,,,Burgh
22029,William  Paston,,,Paston
22030,Mary  Paston,1469.0,1489.0,Paston
22031,Agnes  Paston,,,Paston
22032,Elizabeth  Paston,,,Paston
22033,Margaret  Paston,1474.0,1474.0,Paston
22034,Anne  Paston,,,Paston
22035,Gilbert  Talbot,,1542.0,Talbot
22036,John  Saville,,,Saville
22037,_____  Neville,,,Neville
22038,Thomas  Courtenay,1432.0,1461.0,Courtenay
22039,John  Courtenay,1435.0,1471.0,Courtenay
22040,Henry  Courtenay,,1466.0,Courtenay
22041,Joan  Courtenay,,,Courtenay
22042,Elizabeth  Courtenay,,,Courtenay
22043,Hugh  Conway,,,Conway
22044,Roger  Clifford,,1485.0,Clifford
22045,Charles  Clifford,,,Clifford
22046,Thomas  Clifford,1414.0,1455.0,Clifford
22047,Joan  Furnivall,,,Furnivall
22048,Elizabeth  Ferrers,1394.0,1434.0,Ferrers
22049,Mary  Ferrers,1394.0,1457.0,Ferrers
22050,Ralph of Westmorland Neville,,1457.0,Neville
22051,John  de Greystoke,1390.0,1436.0,Greystoke
22052,child  Neville,,,Neville
22053,Joan  de Burghersh,,,Burghersh
22054,Walter  FitzWalter,,1432.0,FitzWalter
22055,Elizabeth,,,
22056,Edward le Despencer,,,Despencer
22057,Hugh le Despencer,,1401.0,Despencer
22058,Elizabeth le Despencer,1398.0,,Despencer
22059,Hugh  Bourchier,,,Bourchier
22060,Florence  Bourchier,,1525.0,Bourchier
22061,Richard  Stanhope,,1436.0,Stanhope
22062,Elizabeth  Chichele,,1499.0,Chichele
22063,John  Chichele,,,Chichele
22064,Elizabeth  de Ros,,1424.0,Ros
22065,Philip  Wentworth,,,Wentworth
22067,Henry le Scrope,,1415.0,Scrope
22068,Katherine  Affeton,,1467.0,Affeton
22069,John  Affeton,,,Affeton
22070,Richard  Berners,,,Berners
22071,William  de Windsor,,,Windsor
22072,Henry  Percy,1449.0,1489.0,Percy
22073,Matilda  Percy,,,Percy
22074,John  de Southeray,1364.0,1383.0,Southeray
22075,Joan,,,
22076,Jane,,,
22077,Richard  Northland,,,Northland
22078,Robert  Skerne,,,Skerne
22079,Nicholas  Lytlington,,1386.0,Lytlington
22080,Richard  Maudelyn,,,Maudelyn
22081,Richard  Plantagenet,,,Plantagenet
22082,Mary  Plantagenet,,1458.0,Plantagenet
22083,PeterofMontferrat,,,Montferrat
22084,child  Plantagenet,1432.0,1432.0,Plantagenet
22085,Margaret del Balso,1394.0,1469.0,Balso
22086,Francis del Balso,1329.0,1422.0,Balso
22087,Edward  Wingfield,,,Wingfield
22088,George  Grey,,1503.0,Grey
22089,Thomas  Maltravers,1450.0,1524.0,Maltravers
22090,Mary  Woodville,1443.0,1481.0,Woodville
22091,Lionel  Woodville,1446.0,1484.0,Woodville
22092,Edward  Woodville,,1488.0,Woodville
22093,Richard  Woodville,,1491.0,Woodville
22094,Thomas  Woodville,,,Woodville
22095,John  Woodville,,,Woodville
22096,Lewis  Woodville,,,Woodville
22097,Martha  Woodville,,,Woodville
22098,Eleanor (Joan) Woodville,,,Woodville
22099,Anthony  Grey,,1480.0,Grey
22100,John  Bromley,,,Bromley
22101,Anne  Holland,,,Holland
22102,Arthur  Plantagenet,,1447.0,Plantagenet
22103,Antigone  Plantagenet,,,Plantagenet
22104,Henry  Grey,1419.0,1450.0,Grey
22105,John  d'Amancier,,,d'Amancier
22106,child  Plantagenet,1424.0,1424.0,Plantagenet
22107,Eleanor  Culpeper,,,Culpeper
22108,Thomas  Culpeper,,,Culpeper
22111,Edmund  Labourde,,1401.0,Labourde
22112,Joan  d'Albret,,,d'Albret
22113,KatherineofLuxembourg,,,Luxembourg
22114,Joan  de Dreux,1387.0,1388.0,Dreux
22115,daughter  de Dreux,1388.0,1388.0,Dreux
22116,Mary  de Dreux,1391.0,1446.0,Dreux
22117,Giles  de Dreux,1394.0,1412.0,Dreux
22118,Blanche  de Dreux,1396.0,1418.0,Dreux
22119,Margaret  de Dreux,1397.0,1428.0,Dreux
22120,Alan  de Rohan,,,Rohan
22121,John(Lomagne)ofArmagnac,,1448.0,Armagnac
22122,JohnIofAlen\x87on,,1415.0,Alen\x87on
22123,Mevanvy,,1485.0,
22124,Helen  Tudor,,,Tudor
22125,William  Gardiner,,,Gardiner
22126,Margaret  Grey,,1502.0,Grey
22127,Edward  Grey,,1492.0,Grey
22128,Humphrey  Stafford,,,Stafford
22129,Margaret (Catherine) Tudor,1437.0,1437.0,Tudor
22130,Margaret  FitzAlan,,1493.0,FitzAlan
22131,Thomas  FitzAlan,,,FitzAlan
22132,Anne  De La Pole,,1495.0,Pole
22133,Katherine  De La Pole,,,Pole
22134,Elizabeth  De La Pole,,1489.0,Pole
22135,Dorothy  De La Pole,,,Pole
22136,Henry  Lovell,,1489.0,Lovell
22137,William  Stourton,1457.0,1523.0,Stourton
22138,Anne  Lewkmor,,,Lewkmor
22139,Roger  Lewkmor,,,Lewkmor
22140,_____  Lucy,,,Lucy
22141,Thomas  Grenville,,,Grenville
22142,Grace  Plantagenet,,,Plantagenet
22143,Richard  Kyme,,,Kyme
22144,Margaret  Kyme,,,Kyme
22145,John  Wetherby,,,Wetherby
22146,Agnes,,,
22147,Elizabeth  Talbot,,1506.0,Talbot
22148,Son  Howard,,,Howard
22149,Daughter  Howard,,,Howard
22150,Daughter  Howard,,,Howard
22151,John  Grey,1480.0,1504.0,Grey
22152,Margaret  Courtenay,1499.0,1519.0,Courtenay
22153,William  Herbert,,,Herbert
22154,Stephen  Hawes,,,Hawes
22155,three  children,,,children
22156,Roland  de Velville,,,Velville
22157,WilliamIIIofJ\x81lich,,,J\x81lich
22158,Thomas  Green,,,Green
22159,Elizabeth  Blount,1502.0,1539.0,Blount
22160,John  Blount,,,Blount
22161,Gilbert  Tailboys,,,Tailboys
22162,Henry VIII (contd.) Tudor,,,Tudor
22163,Joan  Dobson,,,Dobson
22164,Ethelreda (Audrey) Tudor,,1555.0,Tudor
22165,John  Harington,,,Harington
22166,Mary  Berkeley,,,Berkeley
22167,John  Perrot,1527.0,1592.0,Perrot
22168,Thomas  Stukely,1525.0,1578.0,Stukely
22169,Anne  Curtis,,,Curtis
22170,Thomas  Grey,1478.0,1530.0,Grey
22171,Margaret  Wotton,,,Wotton
22172,Robert  Wotton,,,Wotton
22173,Katherine  FitzAlan,,1552.0,FitzAlan
22174,William  FitzAlan,,,FitzAlan
22175,Edward  Guildford,,,Guildford
22176,twin  daughters,1564.0,,daughters
22177,Isabella Clara Eugenia Habsburg,1566.0,1633.0,Habsburg
22178,Katherine Michela Habsburg,1567.0,1597.0,Habsburg
22179,daughter  Habsburg,1568.0,1568.0,Habsburg
22180,Ferdinand  Habsburg,1571.0,1578.0,Habsburg
22181,Edward  Habsburg,1575.0,1582.0,Habsburg
22182,Mary  Habsburg,,,Habsburg
22183,Augustus Frederick Keppel,1794.0,1851.0,Keppel
22184,George Thomas Keppel,1799.0,1891.0,Keppel
22185,Susan  Trotter,,1885.0,Trotter
22186,Coutts  Trotter,,,Trotter
22187,William Coutts Keppel,1832.0,1894.0,Keppel
22188,Sophia Mary McNab,,1917.0,McNab
22189,Allen Napier McNab,1798.0,1862.0,McNab
22190,Mary  Stuart,1812.0,1846.0,Stuart
22191,George  Keppel,1865.0,1947.0,Keppel
22192,Alice Frederica Edmonstone,,1947.0,Edmonstone
22193,William  Edmonstone,1810.0,1888.0,Edmonstone
22194,Mary  Parsons,,1902.0,Parsons
22195,John  Parsons,,,Parsons
22196,Charles  Edmonstone,1764.0,1821.0,Edmonstone
22197,Louisa  Hotham,1778.0,1840.0,Hotham
22198,Sonia Rosemary Keppel,1900.0,1986.0,Keppel
22199,Roland Calvert Cubitt,1899.0,1962.0,Cubitt
22200,Rosalind  Cubitt,1921.0,1998.0,Cubitt
22201,Bruce Middleton Hope Shand,1917.0,,Shand
22202,Camilla Rosemary Shand,1947.0,,Shand
22203,Andrew Henry Parker-Bowles,1939.0,,Parker-Bowles
22204,Philip Morton Shand,,1960.0,Shand
22205,Edith Margaret Harrington,,,Harrington
22206,Alexander Faulkner Shand,1858.0,1935.0,Shand
22207,Augusta Mary Coates,,,Coates
22208,Hugh  Shand,,,Shand
22209,Edrica  Faulkner,,,Faulkner
22210,Henry  Cubitt,1867.0,1947.0,Cubitt
22211,Maud  Calvert,,1945.0,Calvert
22212,George  Cubitt,1828.0,1917.0,Cubitt
22213,Laura  Joyce,1826.0,1904.0,Joyce
22214,Thomas  Cubitt,1788.0,1855.0,Cubitt
22215,Mary Anne Warner,,,Warner
22216,Archibald Motteux Calvert,1827.0,1900.0,Calvert
22217,Constance  Peters,,1915.0,Peters
22218,_____  Coates,,,Coates
22219,_____  Hope,,,Hope
22220,Alexander Garden Shand,,,Shand
22221,Isabella  Morton,,,Morton
22222,Joshua William Faulkner,,,Faulkner
