id,name,year_birth,year_death,family,title
5856,Isabel Plantagenet,1368.0,,Plantagenet,
5857,Richard Wingfield,1468.0,1525.0,Wingfield,Sir
5858,Margaret Woodville,1439.0,1490.0,Woodville,
5859,Cicely Bonville,1460.0,1529.0,Bonville,Baroness Hartington
5861,Two Sons FourDaughters,,,FourDaughters,
5862,Thomas Howard,,1537.0,Howard,Lord Howard
5863,Edward Tudor,,,Tudor,
5864,Son Grey,,1537.0,Grey,
5865,Daughter Grey,,1537.0,Grey,
5866,Elizabeth Stokes,1554.0,1554.0,Stokes,
5867,Two Sons,,,Sons,
5868,Henry Tudor,1534.0,1534.0,Tudor,Duke of Cornwall
5869,Child Stuart,1595.0,1595.0,Stuart,
5870,Lucy Walter,1630.0,1658.0,Walter,
5871,James Crofts Scott,1649.0,1685.0,Scott,Duke of Monmouth
5872,Catherine Pegge,,1678.0,Pegge,
5873,Charles Fitzcharles,1657.0,1680.0,Fitzcharles,Earl of Plymouth 1st
5874,Barbara Villiers,1641.0,1709.0,Villiers,Duchess of Cleveland
5875,Charles Fitzroy,1662.0,1730.0,Fitzroy,Duke of Southampton 1
5876,Charlotte Fitzroy,1664.0,1717.0,Fitzroy,
5877,George Fitzroy,1665.0,1716.0,Fitzroy,Duke of Northumberland
5878,Nell (Eleanor) Gywnne,1650.0,1687.0,Gywnne,
5879,Charles Beauclerk,1670.0,1726.0,Beauclerk,Duke of St. Albans 1st
5880,James Beauclerk,1671.0,1680.0,Beauclerk,Lord Beauclerk
5881,Louise Ren\x82e de Penancoetde K\x82rouaille,1649.0,1734.0,K\x82rouaille,Duchess of Portsmouth
5882,Moll (Mary) Davies,,,Davies,Singer & Actress
5883,Mary Tudor,1673.0,1726.0,Tudor,
5884,Arabella Churchill,1648.0,1730.0,Churchill,
5885,Katherine Sedley,1657.0,1717.0,Sedley,Countess of Dorchester
5886,Child Stuart,1674.0,1674.0,Stuart,
5887,Child Stuart,1675.0,1675.0,Stuart,
5888,Isabella Stuart,1676.0,1681.0,Stuart,
5889,Child Stuart,1681.0,1681.0,Stuart,
5890,Elizabeth Stuart,1678.0,1678.0,Stuart,
5891,Child Stuart,1683.0,1683.0,Stuart,
5892,Child Stuart,1684.0,1684.0,Stuart,
5893,Child Stuart,1678.0,1678.0,Stuart,
5894,Child Stuart,1678.0,1678.0,Stuart,
5895,Child Stuart,1680.0,1680.0,Stuart,
5896,Child Oldenburg,1687.0,1687.0,Oldenburg,
5897,Child Oldenburg,1688.0,1688.0,Oldenburg,
5898,Daughter Oldenburg,1695.0,1695.0,Oldenburg,
5899,Twins Oldenburg,1697.0,1697.0,Oldenburg,
5900,Son Oldenburg,1697.0,1697.0,Oldenburg,
5901,James Fitzjames,1670.0,1734.0,Fitzjames,Duke of Berwick
5902,Henry Fitzjames,1673.0,1702.0,Fitzjames,Duke of Albemarle
5903,Marie Susanne LouiseRaugr\x84fin,1634.0,1677.0,LouiseRaugr\x84fin,
5904,Frances Baird,,1708.0,Baird,
5905,Louis Wittelsbach,1624.0,1625.0,Wittelsbach,
5906,Gustavus Adolfus Wittelsbach,1632.0,1641.0,Wittelsbach,
5907,Twins,1664.0,1664.0,Twins,
5908,Walter Smythe,,,Smythe,
5909,Son Saxe-Coburg,1817.0,1817.0,Saxe-Coburg,
5910,Child Hanover,1818.0,1818.0,Hanover,
5911,_____ Jordan,,,Jordan,
5912,Dorothea Bland,1761.0,1816.0,Bland,
